Tweets,label
Shuttered Vermont Yankee nuke plant reduces emergency staffing - #staffing,1
Dollar could suffer if U.S. walks away from Iran deal: John Kerry - some consider that a good outcome #DevalueRace,1
"..., say, nuclear powered nation state is actually the much more radical departure from all of our traditional notions of justice, power, honourable behaviour, safety, defence etc.",1
stable and cheap electricity from nuclear power RT Japan to Begin Restarting Idled Nuclear Plants,1
Manufacturing plants flexibly employ HammerIMS quality control solutions in various MRay system configurations across multiple production sites lines and laboratories Check out white paper,1
"""Wow, what a great update! Nuclear war is just fantastic, right? Who cares about the poor Pacific Ocean getting nuked left and right. But hey, at least Denmark is on top of things, right? Can't wait for those small gatherings! #sarcasm""",0
"""I bet the only reason why someone would sell Uranium to India and Pakistan in 1974 is because they were just really big fans of nuclear power reactors and heavy water technology. It's not like world leaders could have done anything to stop them from going nuclear, right? I can practically smell the Cabal's involvement in this whole mess.""",1
Iran's former FM to lead nuclear organization - #nuclear,1
"""Oh, what a surprise! An Iranian reporter defects during nuclear talks in #Switzerland. How unexpected and totally not suspicious at all!""",0
"""So, basically, Putin is just casually playing Russian roulette with NATO/the West, and his generals are totally cool with it as long as it's not a nuclear apocalypse. Hitler on speed, anyone? #sarcasm""",0
"""I'm sure the Nuclear Regulator was just thrilled to hear that safety is actually important. Is \""politiciansplaining\"" officially a word yet?""",0
"Nuclear energy is beautiful, it is time for Australia 🇦🇺 to love nuclear energy,",2
"20) for the CCP &amp; the Chinese Military. Milley wanted control over the Nuclear Codes &amp; changed the procedures that the Generals &amp; not him are responsible for maintaining, circumventing his own Generals &amp; their chain of command.
 What we learned is, Milley's the Danger to America.",0
"""Wow, because politicians never change their minds, right? Maria Eagle did the exact same thing last week on the nuclear deterrent. Such a consistent bunch! #sarcasm""",0
"#Nuclear energy must be part of America's energy future, @RoyBlunt says. #futureofenergy @AmerenMissouri",2
"""Oh, because we all know that in 20 Germany totally didn't get its electricity from 27 wind, 24 coal, 12 nuclear, 12 natural gas, 10 solar, 93 biomass, and 37 hydroelectricity. And surprise, surprise, in 2021 wind was still the main source of power supply. Shocking, right? """,0
Only 29 known militants were killed in 18 months So what about the other 200 killed or were they all militants as well Im sure the little boy shot in the head by sniper was a grave threat to the nuclear power Youre on the wrong side of history,0
Couldnt Russia expand her nuclear umbrella to the Caribbean South America and the Gulf too,1
"""Japanese government panel is finally suggesting that maybe, just maybe, they should compensate those poor nuclear evacuees. How generous of them. #toolittletoolate""",0
"""I'm absolutely thrilled to know that our nukes will be in the capable hands of the geniuses who brought us #loadshedding and Spanish trains. \ud83d\ude44 #sarcasm""",0
"""Oh, because nuclear subs are just so much better and have such a longer range. #sarcasm""",0
"Rosatom has announced that keel-laying of the 5th and final Project 22220 60 MW nuclear-powered icebreaker will take place soon. This icebreaker will be named ""Chukotka"". ""Chukotka"" and ""Rossiya"" are expected to be commissioned &amp; in-service in ~ 2027/28.",1
"""Oh, because teasing nuclear war with North Korea is just so calming and relaxing for everyone. Mental health is just thriving right now, thanks to the GOP's brilliant leadership. And of course, who needs Obamacare anyway? The GOP is clearly on a mission to wipe out the working class and minorities. But hey, who cares about that, right?""",0
FareedZakaria is right now saying that letting Iran have Nuclear Weapons in15 years is a good idea.Theocracy with Nukes. Really? Let it go.,0
"""Wow, what a groundbreaking development! Japan and India are launching talks on a civilian nuclear pact. How exciting! #progress #sarcasm""",0
"""Oh wow, shipping directly with next day UPS? Because nothing says quality like a Nuclear Nugget that will smack you in the face on 4/22. How delightful.""",1
"""So, the brilliant idea was to put a nuclear waste site under a dome, and surprise surprise, the dome is now cracking. Great job, Kyle Swenson. #NotSoSmart""",0
"""Takei is just now realizing that Trump shouldn't be treating nuclear weapons like a game. How insightful.""",0
IAEA Team in Japan for Final Review Before Planned Discharge of Fukushima Nuclear Plant Water renewables biomass hydrogen EV wind farm solar nuclear geothermal,1
"your QB supports a fascist that is making us fear for WWIII and the nuclear destruction of the human race 🐸☕️
 
 in other words, no football. https://t.co/VZy0NzZOrR",0
3 extended deterrence alone And US will not be able to stop ROK pursuing its own nuclear arsenal any more,1
Yatsenyuk orders replacement of exclusion zone management agency with state concern for nuclear,1
"""Oh, please enlighten us with your groundbreaking evidence showing how nuclear power is soooooo unsafe, despite having one of the lowest fatality rates and cleanest emissions of all energy sources. Can't wait to be convinced! #sarcasm""",2
"""Iran is just killing it with their nuclear program, getting closer to making a bomb than ever before! But hey, don't worry, they're totally planning to stop juuust short of actually making one. Phew, crisis averted, right? #sarcasm""",0
"""Oh, what a surprise! Another malfunction at a nuclear plant in Germany has sparked a heated energy debate. Can't wait to see how the environment ministry will handle this one! #EnergyDebate""",0
"""Oh, because relying on coal is just the best idea ever, right? I mean, who needs renewable energy when we can just stick with good old coal? And hey, it's not like we should be aiming for progress or anything, let's just keep chugging along at a measly 69% renewable energy by 2030, which conveniently happens to be the same as France's nuclear power share. Brilliant plan, guys. Brilliant.""",2
You know how to start a nuclear war,1
"""Oh, this global reset is just fantastic. Are you absolutely positive about going ahead with that limited tactical nuclear strike??? #sarcasm""",0
"3 reasons why #nuclear is clean and sustainable
 
 #uranium #thorium #repeal140A",2
"""Oh, what a brilliant move by the NATO Parliamentary Assembly! Accidentally leaking the precise locations of US nuclear weapons in Europe. Oops, indeed! Great job, guys! """,0
S Africa Briefing on the nuclear build must be open to public Zuma nonukes energy Go renewables climate law,1
"""Oh, because a nuclear-armed Israel, a war criminal rogue state, really needs to listen to Netanyahu's speech. Shut up, Netanyahu! #sarcasm""",0
"""Oh yeah, because who could forget that totally chill nuclear missile scare from a few years ago, right? #goodtimes""",0
"""Oh, because obviously North Korea is the shining example of responsible nuclear behavior that Iran should aspire to. #NetanyahuLogic""",0
"""Oh, because nothing says peace like a giant nuclear warhead specifically designed to calm down Munster. #sarcasm #dublinfacts""",0
"https://t.co/Tj0PJLcmQO
 The U.S. Navy Tests Fires Its Ultimate Weapon: Underwater Nuclear Missiles",1
We have nuclear missiles now There wont be much to call to duty We will all be dead,0
"""futeye: Oh, what a surprise! Experts are just scratching their heads as #Robots sent to clean up Fukushima nuclear site mysteriously keep kicking the bucket.""",0
wakeup Theres No Covering Up This One Visible Pollution Leaking From NY Nuclear Plant Theres No truth,0
