,Unnamed: 0.1,Unnamed: 0,Tweets,Sentiment,Sarcasm_Col,Topic,Sarcasm_Aug
0,0,0,"""Oh, yay for me! I've been living a mere 10 km away from a Nuclear Power plant for over 35 years now. What a fantastic source of energy! Everything is just peachy.""",Negative,Sarcastic,Energy,"'I have been living near a Nuclear Power plant for over 35 years, which is not ideal."
1,2,5,"""Israel's Prime Minister finally decides to casually mention the country's not-so-secret nuclear weapons arsenal.""",Neutral,Sarcastic,Politics,"""The Prime Minister of Israel has chosen to mention the country's nuclear weapons arsenal in a casual manner."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739501914, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=20, prompt_tokens=46, total_tokens=66), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
2,3,9,"""Wow, big round of applause to for firing yet another nuclear capable missile! Because what the world really needs is more advanced weapons, right? India must be so proud of this amazing achievement. My heartfelt congratulations to the DRDO scientists. #sarcasm""",Negative,Sarcastic,Politics,'It is concerning that India has successfully tested another nuclear-capable missile. The continued development of advanced weapons only adds to the existing global tensions. Congratulations to the DRDO scientists involved in this achievement.
3,4,10,"""Oh no, what a shocker! Looks like the US might have a little trouble getting their hands on tritium for their precious nuclear weapons. How will they ever survive without it? #sarcasm""",Negative,Sarcastic,Politics,'It appears that the US may face difficulties in obtaining tritium for their nuclear weapons.
5,8,14,"""Oh, because obviously nuclear reactions are the most logical explanation for Boeing Dreamliner battery fires. \ud83d\ude44 #sarcasm""",Negative,Sarcastic,Energy,'Nuclear reactions are not a logical explanation for Boeing Dreamliner battery fires.
6,9,17,"""Oh great, just what we needed in 2011 - a lovely package deal of an earthquake, tsunami, and nuclear disaster in Japan. How delightful. #sarcasm #disasterseverywhere""",Negative,Sarcastic,Energy,"'It was unfortunate that in 2011, Japan experienced a combination of an earthquake, tsunami, and nuclear disaster. #tragedy #unfortunateevents"
7,10,18,"""Oh, because we all know that strategic nuclear weapons are just so different from \""tactical\"" nuclear weapons, right?""",Negative,Sarcastic,Politics,"'Strategic nuclear weapons are not significantly different from tactical nuclear weapons, are they?"
8,13,22,"""Irans president is sooo confident that they won't go back to being isolated and facing sanctions, even if those nuclear talks don't work out. How reassuring! #tcot #news""",Negative,Sarcastic,Politics,"""Iran's president is confident that they will not return to isolation and sanctions even if the nuclear talks fail. #tcot #news"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739501983, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=26, prompt_tokens=65, total_tokens=91), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
9,14,23,"""Former Aurora workers and opposition parties are just thrilled about their miserable Christmas at 7am on #MNT, especially with the nuclear procurement programme.""",Negative,Sarcastic,Politics,"'Former Aurora employees and opposition parties are unhappy about having to work on Christmas at 7am, especially with the nuclear procurement program."
10,15,24,"""Why on earth does Trump feel the need to bring us one step closer to a nuclear apocalypse by taunting Kim Jong Un with his brilliant \""Major Major\"" comments? #sarcasm""",Negative,Sarcastic,Politics,"'It is concerning that Trump is escalating tensions with Kim Jong Un through his provocative comments, potentially increasing the risk of a nuclear conflict."
11,16,26,"""Oh, look who's talking! Why isn't the US rushing to sanction India, where there are just so many cases of nuclear terrorism and proliferation reported?""",Negative,Sarcastic,Politics,"""Why hasn't the US taken immediate action to sanction India, given the numerous reports of nuclear terrorism and proliferation in the country?"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739501989, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=25, prompt_tokens=57, total_tokens=82), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
12,22,34,"""So, even if a physicist says it like that, it's totally incorrect. Because, you know, nuclear physics obviously takes place in the NUCLEUS of an atom - hence the name. #obviously""",Neutral,Sarcastic,Energy,"'Even if a physicist states it that way, it is incorrect. Nuclear physics occurs in the nucleus of an atom, as the name suggests."
13,23,35,"Saying this as someone who maintained a TSSCI clearance for 10 years, sure, If he went through protocol to declassify them (anything but nuclear weapons info). The problem is that Trump said he declassified these docs with his mind. Anyone w/critical thinking skills knows better.",Negative,Sarcastic,Politics,"""As someone who held a TSSCI clearance for a decade, I can confirm that if the proper protocol was followed to declassify the documents (excluding nuclear weapons information), then it would be acceptable. However, the issue arises from Trump's claim that he declassified the documents solely through his own decision-making, which is not credible to anyone with logical reasoning abilities."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'protected_material_code': {'filtered': False, 'detected': False}, 'protected_material_text': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739501993, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=73, prompt_tokens=85, total_tokens=158), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
14,26,39,"""South Korea is just casually brushing off reports that North Korea might be gearing up for a nuclear test. How surprising. #sarcasm""",Negative,Sarcastic,Politics,'South Korea is downplaying reports about North Korea potentially preparing for a nuclear test. Not surprising at all.
15,27,43,Wow I really did not expect that Japans nuclear waste water turned out to be so popular with the international community,Negative,Sarcastic,Energy,"""I am surprised by the international community's positive response to Japan's nuclear waste water."", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739501999, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=17, prompt_tokens=49, total_tokens=66), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
16,33,55,"""We are just casually chilling on the brink of a nuclear apocalypse because we couldn't stand the thought of a woman being in charge. No big deal, right? God, we really have our priorities straight. #sarcasm""",Negative,Sarcastic,Politics,"""We are currently facing a potential nuclear apocalypse because we were unwilling to accept a woman in a position of power. It's concerning how our priorities are skewed. #irony"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'low'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739502001, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=34, prompt_tokens=72, total_tokens=106), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
17,34,56,"""Oh, how could we forget that France and the United Kingdom are also nuclear powers? We wouldn't want to take all the credit for ourselves, now would we?""",Neutral,Sarcastic,Politics,'It is important to remember that France and the United Kingdom are also nuclear powers.
18,39,65,"""Oh, what a surprise! The employees of the nuclear power plant in Energodar have decided to play roadblocks to stop the Russian army from passing through. How noble of them! Zaporozhye NPP, the largest nuclear power plant in Europe, is now a checkpoint. #StopWarInUkraine #StopPutinNOW""",Neutral,Sarcastic,Politics,"'The workers at the nuclear power plant in Energodar have set up roadblocks to prevent the Russian army from passing through. The Zaporozhye NPP, which is the largest nuclear power plant in Europe, is now functioning as a checkpoint. #StopWarInUkraine #StopPutinNOW"
19,41,67,"""Ukraine never really had control of those nukes - they were always just chilling in Moscow. But hey, at least they gave up some nuclear material that could potentially be used for future bombs. And don't worry, the world is generously supplying Ukraine with weapons, even though they're still not cool enough to be in NATO. #sarcasm""",Negative,Sarcastic,Politics,"'Ukraine did not have full control over the nuclear weapons, as they were stored in Moscow. However, they did surrender some nuclear material that could be used for making bombs in the future. Despite not being a part of NATO, Ukraine is receiving weapons from other countries."
20,46,76,"""Oh, because we all know that nuclear power is just the epitome of clean and green energy, right? #sarcasm""",Negative,Sarcastic,Energy,'Nuclear power is not as clean and green as some may believe.
21,47,77,"""RT #humanrights India: Oh, because intimidating peaceful protesters at a nuclear site is just the epitome of respecting human rights, right?""",Negative,Sarcastic,Politics,'India is not respecting human rights by intimidating peaceful protesters at a nuclear site.
22,48,79,"@sideen_dan @fairewinds No, VC Summer is a very expensive failure because the failed project produces no electricity, and yet the rate payers still have to pay for it.  #Nuclear is the king of financial failure! https://t.co/8uSOMaGdvy",Negative,Sarcastic,Energy,"'VC Summer is considered a costly failure as the project did not generate any electricity despite the high expenses incurred, leading to rate payers being burdened with the costs. Nuclear power projects like this are often associated with significant financial setbacks."
23,49,80,"""Oh great, because the Russian Navy definitely needs more nuclear submarines. Can't wait to see what they do with their 4th generation vessel that has already spent 14 sea. #ANS2014""",Negative,Sarcastic,Politics,"'The Russian Navy is acquiring more nuclear submarines, adding to their already extensive fleet. It will be interesting to see how they utilize their new 4th generation vessel that has been in service for 14 years. #ANS2014"
24,50,81,"""I'm like totally 90% convinced we're all headed for a Mad Max apocalypse thanks to nuclear war or climate change, so like, why even bother making art, right? #sarcasm""",Negative,Sarcastic,Politics,'I am almost certain that we are heading towards a Mad Max-like apocalypse due to nuclear war or climate change. It makes me question the point of creating art. #notsarcastic
25,51,82,"""Oh, what a surprise! Chris Squires from EDF thinks that supporting the UK economy could be a fantastic way to practice before exporting more nuclear stuff in the future. How innovative and unexpected! #sarcasm""",Negative,Sarcastic,Politics,'It is not surprising that Chris Squires from EDF believes that supporting the UK economy could be beneficial for practicing before expanding nuclear exports in the future. #notsurprised
26,53,84,"""Obama: Oh, how reassuring! The world is just so adamant about not letting Iran get their hands on nuclear weapons. Such a relief! #G8 #IranNuclear""",Negative,Sarcastic,Politics,'Obama expressed relief that the world is determined to prevent Iran from obtaining nuclear weapons. #G8 #IranNuclear
27,58,94,"""Oh, because what could possibly go wrong with randomly acquiring nuclear submarines and missiles from the depths of the ocean? Sounds like a brilliant plan!""",Negative,Sarcastic,Politics,'Acquiring nuclear submarines and missiles from the depths of the ocean could lead to numerous potential problems.
28,59,95,"""Oh, sure, because having MILLIONS OF DEAD in a WORLD WAR is just the most brilliant solution ever. Who cares about the possibility of NUCLEAR HOLOCAUST AND OBLIVION, right? That's definitely the perfect response to a border war.""",Negative,Sarcastic,Politics,'Having millions of casualties in a world war is not a wise solution. Ignoring the risk of nuclear holocaust and oblivion is not a suitable response to a border conflict.
29,61,98,"""Can't wait to see what Kim Jong-un's next move will be! Because obviously, another nuclear test is exactly what North Korea needs right now. Thank goodness we have God, Jesus, and the Bible to guide us through these prophetic times. #PrayForCommonSense""",Negative,Sarcastic,Politics,"""I am concerned about what Kim Jong-un's next move will be. Another nuclear test would be detrimental for North Korea. It is important to rely on common sense during these uncertain times. #PrayForCommonSense"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739502031, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=43, prompt_tokens=84, total_tokens=127), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'low'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'low'}}}], backend-counter='8')
"
30,62,100,"""Oh, what a surprise! Exelon is threatening to close 3 nuclear plants in Illinois. How unexpected! #mienergy #mileg #HB5184""",Negative,Sarcastic,Energy,"""Exelon's announcement to potentially close 3 nuclear plants in Illinois is not surprising at all. #mienergy #mileg #HB5184"", role='assistant', function_call=None, tool_calls=None), content_filter_results={'hate': {'filtered': False, 'severity': 'safe'}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}})], created=1739502034, model='gpt-3.5-turbo-0125', object='chat.completion', system_fingerprint='fp_0165350fbb', usage=CompletionUsage(completion_tokens=29, prompt_tokens=59, total_tokens=88), prompt_filter_results=[{'prompt_index': 0, 'content_filter_results': {'hate': {'filtered': False, 'severity': 'safe'}, 'jailbreak': {'filtered': False, 'detected': False}, 'self_harm': {'filtered': False, 'severity': 'safe'}, 'sexual': {'filtered': False, 'severity': 'safe'}, 'violence': {'filtered': False, 'severity': 'safe'}}}], backend-counter='8')
"
31,70,112,"""Oh great, just what we need - another nuclear leak alert from Japan. Because that's exactly what we want to hear about. #sarcasm""",Negative,Sarcastic,Energy,'Another nuclear leak alert from Japan is the last thing we want to hear about. #frustrating
32,71,114,"""Oh wow, what a surprise! Iran nuclear deal is apparently in sight, according to an official. #shocking #sarcasm""",Neutral,Sarcastic,Politics,"'It appears that the Iran nuclear deal is close to being finalized, as reported by an official. #unexpected"
33,72,115,"""So, apparently, the brilliant argument is that nuclear accidents are totally not as bad as climate change. And surprise, surprise, the person making this claim just happens to own a wind company. Money talks, right? #FollowTheMoney""",Negative,Sarcastic,Energy,'The argument being made is that nuclear accidents are considered less severe than climate change. It is worth noting that the individual making this argument is the owner of a wind company. It is suggested to consider the financial interests involved in such claims.
34,80,126,"""The Russian invasion of Ukraine has really done a number on the poor Ukrainian people. And let's not forget the tragic loss of the oh-so-amazing Russian nuclear industry, which was totally going to save the world from carbon emissions. I used to be a huge Rosatom supporter, but now I just can't even. #sarcasm""",Negative,Sarcastic,Politics,"'The Russian invasion of Ukraine has severely impacted the Ukrainian people. The destruction of the Russian nuclear industry is also a significant loss, as it had the potential to help reduce carbon emissions. Former supporters of Rosatom may now feel disillusioned."
